Requirement,Type
"For ITS hardware in the field, Project Co shall be responsible for procurement;",Design
"For ITS hardware in the Data Management Centre (DMC), which is comprised of the Data Hub and the Traffic Operations Hub, Project Co shall be responsible for preparing design and specifications. ",Design
"For ITS application and specialized software, Project Co shall be responsible for development.",Design
"For grade separations - lane arrangements, vertical clearances and clear zone distances.",Design
"For girders containing pretensioning strands, Clause 8.15.4 of the Bridge Design Code states “the number of stands where the bonding does not extend to the ends of the member shall not exceed 25% of the total number of strands.” This requirement shall apply to pretensioned only as well as combined pretensioned and post-tensioned girders. For combined pretensioned and post-tensioned girders, the 25% limit shall be applied to the total number of pretensioning strands only. In addition, the number of debonded strands in any horizontal row shall not exceed 40% of the strands in that row, and not more than 40% of the debonded strands, or 4 strands, whichever is greater, shall have the debonding terminated at any section. Debonded strands shall be symmetrically distributed about the centerline of the girder. Debonded lengths of pairs of strands that are symmetrically positioned about the centerline of the girder shall be equal. Exterior strands in each horizontal row shall be fully bonded.",Design
"For gaps up to 3 m between adjacent structures, positive fall prevention provision shall be provided.",Design
For fully/semi integral bridge decks the maximum skew shall not exceed 20°.,Design
"For fully integral abutments, the piles shall be embedded a minimum of 600 mm into the abutment seat.",Design
"For fully integral abutments, the casings shall be filled with styrofoam beads that shall be “Storopack” virgin polystyrene 0.9 pounds per cubic foot filler bead nominal diameter of 5 mm or approved equal. ",Design
"For fully integral abutments, steel casings shall be designed to last the same life as the bridge, and an appropriate sacrificial corrosion thickness or galvanizing shall be provided. ",Design
For fully integral abutments the abutment foundation shall be a single row of piles. ,Design
"For fixed bearings for continuous steel girder bridges, bearings shall be centred on girder bearing stiffeners.",Design
"For expansion bearings, a bearing temperature setting chart shall be provided for positioning bearing components according to the girder temperature at the time of setting the bearing. The bearing design and setting chart shall make allowances for girder shortening due to  post-tensioning and long term shrinkage and creep.",Design
"For expansion bearings, a bearing temperature setting chart shall be provided for positioning bearing components according to the girder temperature at the time of bearing setting.",Design
For eastbound mainline at Fleet Street use parallel lane design adjacent to the mainline outside lane and provide proper deceleration and acceleration lengths to/from stop condition to the mainline design speed.,Design
"For each field device, the hardware test plan for SAT and FAT shall specify, as a minimum, the data set to be tested;",Design
"For each field device, the hardware test plan for SAT and FAT shall specify, as a minimum, parameters being measured including but not limited to speed;",Design
"For each field device, the hardware test plan for SAT and FAT shall specify, as a minimum, parameters being measured including but not limited to signal strength.",Design
"For each field device, the hardware test plan for SAT and FAT shall specify, as a minimum, parameters being measured including but not limited to latency;",Design
"For each field device, the hardware test plan for SAT and FAT shall specify, as a minimum, parameters being measured including but not limited to bandwidth requirements;",Design
"For each field device, the hardware test plan for SAT and FAT shall specify, as a minimum, parameters being measured including but not limited to accuracy;",Design
"For each field device, the hardware test plan for SAT and FAT shall specify, as a minimum, duration;",Design
"For deck drainage purposes, a minimum longitudinal grade of 0.5% shall be provided on bridge decks that are not on vertical curves.",Design
"For customized application software, Project Co shall provide a formal test plan including performance evaluation criteria.",Design
"For customized application software, Project Co shall provide a formal test plan including performance evaluation criteria to the Ministry prior to Substantial Completion. ",Design
"For curved structures with equal girder lengths (parallel chords) within each span, the span lengths shown on the general layout drawings shall be measured at a fabrication temperature of 0° Celsius, from centreline bearing to centreline bearing along the bottom flange for uniform depth girders, and along the top flange for tapered or haunched girders.",Design
"For curved or flared bridges with variable girder lengths (either curved or chords) within a span, measure span length along a selected girder line on the general layout drawing, with a cross reference to a detailed girder layout drawing showing complete geometry of all girders.",Design
